,Zipcode,City,State,Latitude,Longitude
488,01944,manchester,ma,42.57787,-70.76894
490,02345,manomet,ma,41.888197999999996,-70.581029
491,02048,mansfield,ma,42.019982,-71.2191
492,01945,marblehead,ma,42.5001,-70.85783
493,01752,marlborough,ma,42.34624,-71.55215
494,02050,marshfield,ma,42.09177,-70.70559
495,02065,ocean bluff,ma,42.09732,-70.65365
497,02051,marshfield hills,ma,42.14594,-70.73976
499,02648,marstons mills,ma,41.667689,-70.4168
501,02649,mashpee,ma,41.64844,-70.48114
502,01754,maynard,ma,42.43343,-71.44951
503,02052,medfield,ma,42.1876,-71.30645
504,02053,medway,ma,42.151526000000004,-71.42315
505,01756,mendon,ma,42.0967,-71.5499
506,01860,merrimac,ma,42.83065,-71.00228
507,02344,middleboro,ma,41.970473999999996,-70.701357
509,02346,middleboro,ma,41.889582,-70.89406
510,02348,middleboro,ma,41.970473999999996,-70.701357
513,02349,middleboro,ma,41.970473999999996,-70.701357
515,01949,middleton,ma,42.59509,-71.01616
516,01757,milford,ma,42.13982,-71.51617
517,01527,millbury,ma,42.19398,-71.76007
518,01586,west millbury,ma,42.364807,-71.89686800000001
520,02054,millis,ma,42.1676,-71.35784
521,01529,millville,ma,42.02788,-71.5809
522,02350,monponsett,ma,42.01844,-70.84671
523,02553,monument beach,ma,41.673359999999995,-70.608047
525,02554,nantucket,ma,41.276758,-70.09089
526,02564,siasconset,ma,41.273949,-70.01554499999999
528,02584,nantucket,ma,41.277794,-70.046019
529,01760,natick,ma,42.28343,-71.3495
530,01531,new braintree,ma,42.31676,-72.12591
531,01950,newburyport,ma,42.81259,-70.87728
532,01951,newbury,ma,42.7708,-70.87295
534,01952,salisbury,ma,42.84176,-70.86061
537,02056,norfolk,ma,42.11954,-71.32506
538,02351,abington,ma,42.119534,-70.94787
539,01862,north billerica,ma,42.573592,-71.2911
541,01532,northborough,ma,42.31954,-71.64118
542,01534,northbridge,ma,42.15148,-71.64951
543,01535,north brookfield,ma,42.26676,-72.08285
545,02355,north carver,ma,41.92038,-70.79948
546,02650,north chatham,ma,41.702265000000004,-69.96958000000001
547,01863,north chelmsford,ma,42.634199,-71.39322
549,02651,north eastham,ma,41.824264,-69.98176
550,02356,north easton,ma,42.058507,-71.11309
551,02357,north easton,ma,42.064499,-71.087091
554,02556,north falmouth,ma,41.6403,-70.63036
556,02565,silver beach,ma,41.799312,-70.308662
559,01536,north grafton,ma,42.23343,-71.70785
560,02059,north marshfield,ma,41.970473999999996,-70.701357
562,01537,north oxford,ma,42.170846000000004,-71.88989000000001
563,02358,north pembroke,ma,42.09316,-70.79254
565,01864,north reading,ma,42.583436,-71.0982
566,01889,north reading,ma,42.571633,-71.109646
567,02652,north truro,ma,42.03344,-70.0953
568,01538,north uxbridge,ma,42.364807,-71.89686800000001
570,02061,norwell,ma,42.152429999999995,-70.8205
571,02062,norwood,ma,42.19454,-71.1995
572,01865,nutting lake,ma,42.446396,-71.459405
573,02557,oak bluffs,ma,41.417376000000004,-70.56003199999999
574,02558,onset,ma,41.74177,-70.65781
575,02653,orleans,ma,41.777646999999995,-69.97312
576,02655,osterville,ma,41.62844,-70.38697
577,01540,oxford,ma,42.11676,-71.86479
578,01960,peabody,ma,42.534045,-70.96146
579,01961,peabody,ma,42.635443,-70.87912299999999
580,02359,pembroke,ma,42.07149,-70.80921
581,01463,pepperell,ma,42.66592,-71.5884
